"0","message(""Includes "",nrow(NW),"" observations and "",length(unique(NW$scntfcn)),"" unique species."")"
"2","Includes 13804 observations and 44 unique species.
"
"0","#Open the surface ownership data"
"0","SO <- st_read(""C:/Users/dburruss/Documents/GIS/BLM_NM_Surface/BLM_NM_Surface_Management_Agency.shp"") %>%"
"0","  dplyr::select(OBJECTID, own) %>%"
"0","  mutate(area_m2 = st_area(geometry),"
"0","         area_km = as.numeric(area_m2)/1000000) %>% #calculate km and drop units"
"0","  st_transform(st_crs(NW)) %>% #match CRS"
"0","  st_make_valid() #fix invalid geometries"
"1","Reading layer `"
"1","BLM_NM_Surface_Management_Agency"
"1","' from data source "
"1","`"
"1","C:\Users\dburruss\Documents\GIS\BLM_NM_Surface\BLM_NM_Surface_Management_Agency.shp"
"1","' "
"1","using driver `"
"1","ESRI Shapefile"
"1","'"
"1","
"
"1","Simple feature collection with 18639 features and 12 fields"
"1","
"
"1","Geometry type: MULTIPOLYGON
"
"1","Dimension:     XY
"
"1","Bounding box:  "
"1","xmin: 114558.4 ymin: 3470997 xmax: 682829.7 ymax: 4102411"
"1","
"
"1","Projected CRS: NAD83 / UTM zone 13N
"
"0","#recode ownership names"
"0","ownership_mapping <- c("
"0","  ""P""   = ""Private"","
"0","  ""BLM"" = ""BLM"","
"0","  ""S""   = ""State Land"","
"0","  ""DOD"" = ""Dept of Defense"","
"0","  ""I""   = ""Indian Land"","
"0","  ""FS""  = ""U.S. Forest Service"","
"0","  ""BOR"" = ""Bureau of Reclamation"","
"0","  ""SGF"" = ""State G & F"","
"0","  ""DOE"" = ""Dept of Energy"","
"0","  ""NPS"" = ""Nat Park Service"","
"0","  ""FWS"" = ""U.S. FWS"","
"0","  ""SP""  = ""State Park"","
"0","  ""OFA"" = ""Other Fed. Agcy."","
"0","  ""DOA"" = ""Dept of Ag"""
"0",")"
"0",""
"0","SO <- SO %>%"
"0","  mutate(own_full = own,"
"0","         own_full = recode(own, !!!ownership_mapping))"
"0",""
"0","plot(SO[2]) #plot ownership for visual check"
